obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
114;3;6.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
123;2;4.444;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
124;2;4.444;8;6.667;16;7.619;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;26;2.567
125;4;8.889;8;6.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;12;1.185
127;8;17.778;22;18.333;29;13.810;24;9.524;25;11.905;0;0.000;0;0.000;0;0.000;0;0.000;108;10.661
131;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
132;2;4.444;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
133;4;8.889;3;2.500;2;0.952;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;9;0.888
136;2;4.444;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
137;2;4.444;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
138;9;20.000;36;30.000;44;20.952;24;9.524;5;2.381;0;0.000;0;0.000;0;0.000;0;0.000;118;11.649
140;5;11.111;8;6.667;14;6.667;3;1.190;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;30;2.962
141;9;20.000;15;12.500;7;3.333;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;31;3.060
143;2;4.444;3;2.500;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;6;0.592
144;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
146;9;20.000;27;22.500;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;36;3.554
148;3;6.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
149;6;13.333;5;4.167;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;12;1.185
155;9;20.000;14;11.667;22;10.476;3;1.190;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;48;4.738
156;4;8.889;2;1.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;6;0.592
160;2;4.444;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
162;8;17.778;11;9.167;3;1.429;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;22;2.172
163;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
169;2;4.444;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
171;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
179;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
180;2;4.444;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
181;9;20.000;21;17.500;13;6.190;1;0.397;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;44;4.344
183;9;20.000;36;30.000;73;34.762;21;8.333;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;139;13.722
190;10;22.222;14;11.667;14;6.667;4;1.587;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;42;4.146
192;9;20.000;36;30.000;44;20.952;11;4.365;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;100;9.872
193;9;20.000;26;21.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;35;3.455
194;9;20.000;6;5.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;15;1.481
198;10;22.222;19;15.833;27;12.857;21;8.333;7;3.333;0;0.000;0;0.000;0;0.000;0;0.000;84;8.292
201;12;26.667;28;23.333;55;26.190;51;20.238;54;25.714;20;16.667;3;6.667;0;0.000;0;0.000;223;22.014
203;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
205;1;2.222;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
209;9;20.000;10;8.333;12;5.714;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;31;3.060
212;10;22.222;26;21.667;49;23.333;42;16.667;29;13.810;0;0.000;0;0.000;0;0.000;0;0.000;156;15.400
214;3;6.667;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;4;0.395
215;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
220;1;2.222;2;1.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
223;3;6.667;8;6.667;8;3.810;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;19;1.876
226;9;20.000;3;2.500;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;12;1.185
227;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
229;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
231;2;4.444;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
232;2;4.444;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
234;2;4.444;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
236;8;17.778;14;11.667;23;10.952;25;9.921;13;6.190;1;0.833;0;0.000;0;0.000;0;0.000;84;8.292
238;9;20.000;15;12.500;13;6.190;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;37;3.653
243;1;2.222;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
247;6;13.333;2;1.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;8;0.790
250;1;2.222;5;4.167;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;6;0.592
256;4;8.889;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;4;0.395
257;9;20.000;15;12.500;7;3.333;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;31;3.060
258;9;20.000;19;15.833;26;12.381;21;8.333;2;0.952;0;0.000;0;0.000;0;0.000;0;0.000;77;7.601
259;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
261;7;15.556;14;11.667;24;11.429;29;11.508;23;10.952;14;11.667;6;13.333;1;10.000;0;0.000;118;11.649
262;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
270;3;6.667;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;4;0.395
274;8;17.778;2;1.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;10;0.987
275;9;20.000;21;17.500;6;2.857;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;36;3.554
276;1;2.222;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
278;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
280;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
284;9;20.000;9;7.500;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;18;1.777
297;2;4.444;8;6.667;2;0.952;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;12;1.185
298;7;15.556;6;5.000;2;0.952;1;0.397;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;16;1.579
306;2;4.444;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
307;3;6.667;8;6.667;4;1.905;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;15;1.481
309;4;8.889;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;4;0.395
310;9;20.000;36;30.000;84;40.000;113;44.841;20;9.524;0;0.000;0;0.000;0;0.000;0;0.000;262;25.864
311;12;26.667;21;17.500;34;16.190;46;18.254;25;11.905;0;0.000;0;0.000;0;0.000;0;0.000;138;13.623
316;9;20.000;23;19.167;20;9.524;8;3.175;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;60;5.923
320;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
327;1;2.222;8;6.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;9;0.888
329;3;6.667;2;1.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;5;0.494
333;3;6.667;4;3.333;2;0.952;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;9;0.888
335;15;33.333;38;31.667;73;34.762;103;40.873;81;38.571;40;33.333;21;46.667;7;70.000;1;100.000;379;37.414
338;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
343;11;24.444;11;9.167;23;10.952;16;6.349;5;2.381;0;0.000;0;0.000;0;0.000;0;0.000;66;6.515
344;11;24.444;38;31.667;80;38.095;110;43.651;79;37.619;40;33.333;13;28.889;0;0.000;0;0.000;371;36.624
345;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
349;2;4.444;2;1.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;4;0.395
352;1;2.222;4;3.333;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;5;0.494
354;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
365;2;4.444;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
371;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
374;9;20.000;26;21.667;39;18.571;32;12.698;9;4.286;0;0.000;0;0.000;0;0.000;0;0.000;115;11.352
375;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
381;9;20.000;9;7.500;15;7.143;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;33;3.258
383;2;4.444;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
388;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
393;9;20.000;15;12.500;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;25;2.468
