obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_11_atrybutow;%_obserwacji_11;dla_12_atrybutow;%_obserwacji_12;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
144;22;33.333;64;29.091;119;24.040;186;23.485;199;21.537;121;15.278;40;8.081;10;4.545;0;0.000;0;0.000;0;0.000;761;18.638
145;12;18.182;57;25.909;168;33.939;333;42.045;469;50.758;439;55.429;300;60.606;151;68.636;51;77.273;11;91.667;1;100.000;1992;48.788
146;12;18.182;3;1.364;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;15;0.367
147;25;37.879;113;51.364;307;62.020;572;72.222;743;80.411;687;86.742;456;92.121;211;95.909;64;96.970;12;100.000;1;100.000;3191;78.153
148;9;13.636;22;10.000;38;7.677;43;5.429;45;4.870;34;4.293;13;2.626;3;1.364;0;0.000;0;0.000;0;0.000;207;5.070
149;7;10.606;25;11.364;51;10.303;76;9.596;63;6.818;17;2.146;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;239;5.854
151;11;16.667;5;2.273;2;0.404;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;18;0.441
152;18;27.273;55;25.000;114;23.030;156;19.697;157;16.991;93;11.742;28;5.657;2;0.909;0;0.000;0;0.000;0;0.000;623;15.258
153;3;4.545;4;1.818;2;0.404;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;9;0.220
154;30;45.455;89;40.455;214;43.232;414;52.273;471;50.974;453;57.197;294;59.394;155;70.455;48;72.727;10;83.333;1;100.000;2179;53.368
155;2;3.030;6;2.727;8;1.616;10;1.263;7;0.758;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;33;0.808
156;26;39.394;83;37.727;199;40.202;250;31.566;300;32.468;266;33.586;135;27.273;9;4.091;0;0.000;0;0.000;0;0.000;1268;31.056
158;7;10.606;27;12.273;49;9.899;57;7.197;53;5.736;28;3.535;13;2.626;0;0.000;0;0.000;0;0.000;0;0.000;234;5.731
159;23;34.848;100;45.455;244;49.293;372;46.970;392;42.424;299;37.753;151;30.505;60;27.273;10;15.152;0;0.000;0;0.000;1651;40.436
160;28;42.424;92;41.818;179;36.162;294;37.121;373;40.368;347;43.813;218;44.040;73;33.182;13;19.697;0;0.000;0;0.000;1617;39.603
161;4;6.061;14;6.364;11;2.222;8;1.010;2;0.216;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;39;0.955
162;14;21.212;59;26.818;169;34.141;336;42.424;439;47.511;429;54.167;297;60.000;147;66.818;44;66.667;10;83.333;1;100.000;1945;47.637
163;1;1.515;4;1.818;5;1.010;4;0.505;2;0.216;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;16;0.392
164;2;3.030;3;1.364;11;2.222;26;3.283;50;5.411;59;7.449;48;9.697;23;10.455;6;9.091;0;0.000;0;0.000;228;5.584
165;13;19.697;62;28.182;167;33.737;288;36.364;325;35.173;268;33.838;176;35.556;95;43.182;35;53.030;9;75.000;1;100.000;1439;35.244
166;26;39.394;77;35.000;193;38.990;356;44.949;469;50.758;462;58.333;330;66.667;165;75.000;55;83.333;11;91.667;1;100.000;2145;52.535
167;14;21.212;59;26.818;125;25.253;215;27.146;175;18.939;67;8.460;10;2.020;0;0.000;0;0.000;0;0.000;0;0.000;665;16.287
168;5;7.576;6;2.727;1;0.202;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;12;0.294
