obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_11_atrybutow;%_obserwacji_11;dla_12_atrybutow;%_obserwacji_12;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
431;3;4.545;8;3.636;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;11;0.269
432;14;21.212;33;15.000;68;13.737;63;7.955;41;4.437;21;2.652;7;1.414;2;0.909;0;0.000;0;0.000;0;0.000;249;6.098
433;14;21.212;61;27.727;164;33.131;302;38.131;388;41.991;345;43.561;202;40.808;78;35.455;17;25.758;1;8.333;0;0.000;1572;38.501
434;24;36.364;94;42.727;221;44.646;400;50.505;528;57.143;520;65.657;362;73.131;175;79.545;57;86.364;11;91.667;1;100.000;2393;58.609
436;12;18.182;50;22.727;139;28.081;239;30.177;284;30.736;236;29.798;135;27.273;53;24.091;11;16.667;1;8.333;0;0.000;1160;28.410
437;7;10.606;17;7.727;25;5.051;22;2.778;10;1.082;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;82;2.008
439;1;1.515;3;1.364;1;0.202;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;5;0.122
440;0;0.000;1;0.455;2;0.404;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;4;0.098
441;12;18.182;51;23.182;92;18.586;108;13.636;91;9.848;39;4.924;5;1.010;0;0.000;0;0.000;0;0.000;0;0.000;398;9.748
442;5;7.576;11;5.000;33;6.667;56;7.071;32;3.463;2;0.253;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;139;3.404
443;3;4.545;4;1.818;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;7;0.171
444;25;37.879;93;42.273;215;43.434;379;47.854;497;53.788;478;60.354;333;67.273;165;75.000;55;83.333;11;91.667;1;100.000;2252;55.156
446;2;3.030;4;1.818;2;0.404;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;8;0.196
447;14;21.212;58;26.364;166;33.535;330;41.667;462;50.000;462;58.333;330;66.667;165;75.000;55;83.333;11;91.667;1;100.000;2054;50.306
448;9;13.636;23;10.455;60;12.121;71;8.965;54;5.844;39;4.924;5;1.010;0;0.000;0;0.000;0;0.000;0;0.000;261;6.392
449;2;3.030;3;1.364;8;1.616;12;1.515;8;0.866;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;34;0.833
450;4;6.061;14;6.364;45;9.091;87;10.985;95;10.281;68;8.586;31;6.263;7;3.182;1;1.515;0;0.000;0;0.000;352;8.621
451;13;19.697;32;14.545;62;12.525;105;13.258;118;12.771;98;12.374;47;9.495;14;6.364;2;3.030;0;0.000;0;0.000;491;12.025
452;29;43.939;111;50.455;290;58.586;517;65.278;665;71.970;611;77.146;405;81.818;187;85.000;60;90.909;11;91.667;1;100.000;2887;70.708
453;13;19.697;40;18.182;56;11.313;59;7.449;49;5.303;27;3.409;11;2.222;2;0.909;0;0.000;0;0.000;0;0.000;257;6.294
454;8;12.121;14;6.364;17;3.434;9;1.136;1;0.108;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;49;1.200
455;4;6.061;13;5.909;21;4.242;13;1.641;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;51;1.249
456;16;24.242;66;30.000;177;35.758;342;43.182;470;50.866;467;58.965;331;66.869;165;75.000;55;83.333;11;91.667;1;100.000;2101;51.457
457;8;12.121;25;11.364;19;3.838;21;2.652;11;1.190;3;0.379;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;87;2.131
458;3;4.545;2;0.909;2;0.404;2;0.253;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;9;0.220
459;14;21.212;27;12.273;34;6.869;13;1.641;3;0.325;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;91;2.229
460;4;6.061;10;4.545;11;2.222;11;1.389;8;0.866;4;0.505;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;48;1.176
461;16;24.242;58;26.364;105;21.212;112;14.141;72;7.792;27;3.409;4;0.808;0;0.000;0;0.000;0;0.000;0;0.000;394;9.650
462;10;15.152;31;14.091;47;9.495;32;4.040;12;1.299;2;0.253;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;134;3.282
463;14;21.212;57;25.909;169;34.141;339;42.803;465;50.325;464;58.586;330;66.667;165;75.000;55;83.333;11;91.667;1;100.000;2070;50.698
464;19;28.788;39;17.727;51;10.303;46;5.808;26;2.814;9;1.136;1;0.202;0;0.000;0;0.000;0;0.000;0;0.000;191;4.678
465;7;10.606;7;3.182;14;2.828;22;2.778;8;0.866;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;58;1.421
466;16;24.242;45;20.455;71;14.343;84;10.606;50;5.411;20;2.525;2;0.404;0;0.000;0;0.000;0;0.000;0;0.000;288;7.054
467;2;3.030;8;3.636;24;4.848;45;5.682;56;6.061;33;4.167;17;3.434;3;1.364;0;0.000;0;0.000;0;0.000;188;4.604
468;1;1.515;4;1.818;10;2.020;15;1.894;13;1.407;10;1.263;2;0.404;0;0.000;0;0.000;0;0.000;0;0.000;55;1.347
469;2;3.030;5;2.273;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;7;0.171
470;12;18.182;34;15.455;41;8.283;20;2.525;7;0.758;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;114;2.792
471;1;1.515;8;3.636;16;3.232;10;1.263;7;0.758;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;42;1.029
472;2;3.030;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.049
473;8;12.121;24;10.909;42;8.485;43;5.429;25;2.706;10;1.263;1;0.202;0;0.000;0;0.000;0;0.000;0;0.000;153;3.747
474;18;27.273;80;36.364;219;44.242;348;43.939;344;37.229;265;33.460;147;29.697;50;22.727;5;7.576;0;0.000;0;0.000;1476;36.150
475;6;9.091;4;1.818;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;10;0.245
476;23;34.848;93;42.273;226;45.657;390;49.242;505;54.654;480;60.606;333;67.273;165;75.000;55;83.333;11;91.667;1;100.000;2282;55.890
477;2;3.030;8;3.636;7;1.414;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;17;0.416
478;0;0.000;1;0.455;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.024
479;2;3.030;3;1.364;4;0.808;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;10;0.245
480;9;13.636;35;15.909;99;20.000;189;23.864;254;27.489;247;31.187;160;32.323;64;29.091;14;21.212;1;8.333;0;0.000;1072;26.255
481;1;1.515;4;1.818;2;0.404;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;8;0.196
482;16;24.242;46;20.909;122;24.646;203;25.631;250;27.056;197;24.874;94;18.990;28;12.727;6;9.091;0;0.000;0;0.000;962;23.561
