obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_11_atrybutow;%_obserwacji_11;dla_12_atrybutow;%_obserwacji_12;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
384;18;27.273;43;19.545;132;26.667;216;27.273;277;29.978;235;29.672;168;33.939;61;27.727;11;16.667;4;33.333;0;0.000;1165;28.533
385;9;13.636;23;10.455;47;9.495;56;7.071;85;9.199;80;10.101;16;3.232;18;8.182;0;0.000;0;0.000;0;0.000;334;8.180
386;2;3.030;5;2.273;5;1.010;1;0.126;3;0.325;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;16;0.392
388;1;1.515;3;1.364;1;0.202;3;0.379;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;8;0.196
390;9;13.636;20;9.091;11;2.222;21;2.652;8;0.866;2;0.253;1;0.202;0;0.000;0;0.000;0;0.000;0;0.000;72;1.763
391;4;6.061;13;5.909;31;6.263;23;2.904;33;3.571;13;1.641;10;2.020;0;0.000;0;0.000;0;0.000;0;0.000;127;3.110
393;13;19.697;58;26.364;121;24.444;223;28.157;225;24.351;77;9.722;144;29.091;33;15.000;8;12.121;3;25.000;0;0.000;905;22.165
394;38;57.576;147;66.818;350;70.707;626;79.040;763;82.576;705;89.015;456;92.121;209;95.000;63;95.455;12;100.000;1;100.000;3370;82.537
395;7;10.606;23;10.455;65;13.131;103;13.005;119;12.879;111;14.015;60;12.121;10;4.545;4;6.061;0;0.000;0;0.000;502;12.295
396;2;3.030;2;0.909;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;4;0.098
399;4;6.061;1;0.455;2;0.404;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;7;0.171
401;2;3.030;10;4.545;11;2.222;0;0.000;4;0.433;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;27;0.661
402;8;12.121;20;9.091;27;5.455;32;4.040;29;3.139;18;2.273;6;1.212;3;1.364;0;0.000;0;0.000;0;0.000;143;3.502
404;6;9.091;17;7.727;21;4.242;8;1.010;1;0.108;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;53;1.298
405;17;25.758;66;30.000;154;31.111;233;29.419;218;23.593;268;33.838;154;31.111;68;30.909;4;6.061;4;33.333;1;100.000;1187;29.072
406;1;1.515;7;3.182;12;2.424;13;1.641;4;0.433;15;1.894;0;0.000;0;0.000;1;1.515;0;0.000;0;0.000;53;1.298
407;13;19.697;32;14.545;91;18.384;180;22.727;155;16.775;201;25.379;94;18.990;64;29.091;10;15.152;5;41.667;0;0.000;845;20.696
408;7;10.606;29;13.182;69;13.939;125;15.783;139;15.043;87;10.985;60;12.121;8;3.636;9;13.636;1;8.333;0;0.000;534;13.079
409;1;1.515;2;0.909;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.073
410;12;18.182;53;24.091;101;20.404;134;16.919;175;18.939;63;7.955;10;2.020;6;2.727;0;0.000;0;0.000;0;0.000;554;13.568
411;2;3.030;4;1.818;6;1.212;7;0.884;10;1.082;1;0.126;1;0.202;0;0.000;0;0.000;0;0.000;0;0.000;31;0.759
412;7;10.606;27;12.273;65;13.131;101;12.753;191;20.671;98;12.374;72;14.545;25;11.364;5;7.576;1;8.333;0;0.000;592;14.499
