obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
393;15;33.333;38;31.667;85;40.476;115;45.635;120;57.143;77;64.167;33;73.333;8;80.000;1;100.000;492;48.569
394;4;8.889;3;2.500;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;8;0.790
395;7;15.556;22;18.333;42;20.000;54;21.429;46;21.905;16;13.333;0;0.000;0;0.000;0;0.000;187;18.460
396;2;4.444;7;5.833;2;0.952;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;11;1.086
397;2;4.444;9;7.500;17;8.095;11;4.365;10;4.762;1;0.833;0;0.000;0;0.000;0;0.000;50;4.936
398;4;8.889;9;7.500;4;1.905;1;0.397;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;18;1.777
399;2;4.444;2;1.667;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;5;0.494
400;5;11.111;12;10.000;3;1.429;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;20;1.974
401;11;24.444;14;11.667;15;7.143;13;5.159;11;5.238;7;5.833;0;0.000;0;0.000;0;0.000;71;7.009
402;13;28.889;38;31.667;84;40.000;126;50.000;126;60.000;84;70.000;36;80.000;9;90.000;1;100.000;517;51.037
403;4;8.889;4;3.333;5;2.381;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;13;1.283
404;14;31.111;40;33.333;89;42.381;113;44.841;96;45.714;59;49.167;22;48.889;6;60.000;0;0.000;439;43.337
405;17;37.778;62;51.667;70;33.333;72;28.571;73;34.762;56;46.667;28;62.222;8;80.000;1;100.000;387;38.203
406;5;11.111;3;2.500;1;0.476;2;0.794;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;11;1.086
407;9;20.000;18;15.000;29;13.810;19;7.540;2;0.952;0;0.000;0;0.000;0;0.000;0;0.000;77;7.601
408;18;40.000;56;46.667;111;52.857;159;63.095;138;65.714;94;78.333;38;84.444;10;100.000;1;100.000;625;61.698
409;2;4.444;2;1.667;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;5;0.494
410;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
411;12;26.667;40;33.333;80;38.095;109;43.254;99;47.143;59;49.167;17;37.778;2;20.000;0;0.000;418;41.264
412;2;4.444;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
414;14;31.111;31;25.833;46;21.905;43;17.063;37;17.619;29;24.167;15;33.333;0;0.000;0;0.000;215;21.224
416;1;2.222;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
417;3;6.667;3;2.500;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;7;0.691
419;24;53.333;79;65.833;146;69.524;180;71.429;163;77.619;100;83.333;41;91.111;10;100.000;1;100.000;744;73.445
420;17;37.778;41;34.167;67;31.905;88;34.921;85;40.476;55;45.833;19;42.222;6;60.000;1;100.000;379;37.414
421;2;4.444;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
422;3;6.667;8;6.667;13;6.190;3;1.190;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;27;2.665
423;3;6.667;4;3.333;4;1.905;1;0.397;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;12;1.185
424;9;20.000;24;20.000;32;15.238;36;14.286;23;10.952;10;8.333;2;4.444;0;0.000;0;0.000;136;13.425
425;3;6.667;9;7.500;17;8.095;35;13.889;27;12.857;10;8.333;4;8.889;0;0.000;0;0.000;105;10.365
426;9;20.000;18;15.000;19;9.048;13;5.159;5;2.381;0;0.000;0;0.000;0;0.000;0;0.000;64;6.318
427;2;4.444;14;11.667;18;8.571;16;6.349;4;1.905;0;0.000;0;0.000;0;0.000;0;0.000;54;5.331
428;7;15.556;11;9.167;14;6.667;11;4.365;3;1.429;1;0.833;0;0.000;0;0.000;0;0.000;47;4.640
429;1;2.222;2;1.667;5;2.381;4;1.587;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;12;1.185
430;8;17.778;23;19.167;31;14.762;37;14.683;35;16.667;10;8.333;0;0.000;0;0.000;0;0.000;144;14.215
431;5;11.111;13;10.833;16;7.619;13;5.159;8;3.810;1;0.833;0;0.000;0;0.000;0;0.000;56;5.528
432;9;20.000;11;9.167;14;6.667;3;1.190;3;1.429;0;0.000;0;0.000;0;0.000;0;0.000;40;3.949
433;3;6.667;3;2.500;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;7;0.691
434;4;8.889;8;6.667;6;2.857;3;1.190;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;21;2.073
435;20;44.444;46;38.333;73;34.762;85;33.730;84;40.000;60;50.000;28;62.222;8;80.000;1;100.000;405;39.980
436;8;17.778;14;11.667;11;5.238;8;3.175;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;41;4.047
437;8;17.778;20;16.667;30;14.286;36;14.286;27;12.857;8;6.667;0;0.000;0;0.000;0;0.000;129;12.734
439;6;13.333;11;9.167;6;2.857;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;23;2.270
440;10;22.222;36;30.000;87;41.429;126;50.000;126;60.000;82;68.333;35;77.778;8;80.000;1;100.000;511;50.444
442;7;15.556;29;24.167;40;19.048;43;17.063;33;15.714;14;11.667;0;0.000;0;0.000;0;0.000;166;16.387
443;2;4.444;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
444;7;15.556;5;4.167;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;12;1.185
445;11;24.444;37;30.833;74;35.238;103;40.873;86;40.952;37;30.833;7;15.556;0;0.000;0;0.000;355;35.044
446;3;6.667;2;1.667;4;1.905;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;9;0.888
447;8;17.778;18;15.000;26;12.381;23;9.127;11;5.238;6;5.000;0;0.000;0;0.000;0;0.000;92;9.082
448;7;15.556;21;17.500;31;14.762;49;19.444;44;20.952;19;15.833;10;22.222;4;40.000;0;0.000;185;18.263
449;2;4.444;3;2.500;5;2.381;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;10;0.987
450;7;15.556;18;15.000;26;12.381;21;8.333;13;6.190;3;2.500;0;0.000;0;0.000;0;0.000;88;8.687
451;10;22.222;36;30.000;82;39.048;88;34.921;63;30.000;26;21.667;3;6.667;1;10.000;0;0.000;309;30.503
452;8;17.778;18;15.000;28;13.333;26;10.317;18;8.571;3;2.500;1;2.222;0;0.000;0;0.000;102;10.069
453;10;22.222;39;32.500;80;38.095;105;41.667;94;44.762;58;48.333;21;46.667;3;30.000;0;0.000;410;40.474
454;3;6.667;7;5.833;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;11;1.086
455;7;15.556;21;17.500;34;16.190;37;14.683;28;13.333;3;2.500;0;0.000;0;0.000;0;0.000;130;12.833
456;2;4.444;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
457;6;13.333;6;5.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;12;1.185
